rank,tier,title,year,authors,venue,doi,url,cited_by_count,relevance_score,relevance_tags,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,query_sources,abstract
1,landscape; serious_skim; deep_read; hostile_prior,"Perceived Behavioral Control, SelfEfficacy, Locus of Control, and the Theory of Planned Behavior<sup>1</sup>",2002,Icek Ajzen,Journal of Applied Social Psychology,https://doi.org/10.1111/j.1559-1816.2002.tb00236.x,https://doi.org/10.1111/j.1559-1816.2002.tb00236.x,5480,144.414,hybrid_contact_control,Conceptual and methodological ambiguities surrounding the concept of perceived behavioral control are clarified.,explicit hybrid mode or complementarity formulation,contact modes are represented finely enough for control; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,hybrid contact dynamics control robotics,"Conceptual and methodological ambiguities surrounding the concept of perceived behavioral control are clarified. It is shown that perceived control over performance of a behavior, though comprised of separable components that reflect beliefs about selfefficacy and about controllability, can nevertheless be considered a unitary latent variable in a hierarchical factor model. It is further argued that there is no necessary correspondence between selfefficacy and internal control factors, or between controllability and external control factors. Selfefficacy and controllability can reflect internal as well as external factors and the extent to which they reflect one or the other is an empirical question. Finally, a case is made that measures of perceived behavioral control need to incorporate selfefficacy as well as controllability items that are carefully selected to ensure high internal consistency. Summary and Conclusions Perceived control over performance of a behavior can account for consider able variance in intentions and actions. However, ambiguities surrounding the concept of perceived behavioral control have tended to create uncertainties and to impede progress. The present article attempted to clarify conceptual ambiguities and resolve issues related to the operationalization of perceived behavioral control. Recent research has demonstrated that the overarching concept of perceived behavioral control, as commonly assessed, is comprised of two components: selfefficacy (dealing largely with the ease or difficulty of performing a behavior) and controllability (the extent to which performance is up to the actor). Contrary to a widely accepted view, it was argued that selfefficacy expectations do not necessarily correspond to beliefs about internal control factors, and that controllability expectations have no necessary basis in the perceived operation of external factors. Instead, it was suggested that selfefficacy and controllability may both reflect beliefs about the presence of internal as well as external factors. Rather than making a priori assumptions about the internal or external locus of selfefficacy and controllability, this issue is best treated as an empirical question. Also of theoretical significance, the present article tried to dispel the notion that selfefficacy and controllability are incompatible with, or independent of, each other. Although factor analyses of perceived behavioral control items provide clear and consistent evidence for the distinction, there is sufficient commonality between selfefficacy and controllability to suggest a twolevel hierarchical model. In this model, perceived behavioral control is the overarching, superordinate construct that is comprised of two lowerlevel components: selfefficacy and controllability. This view of the control component in the theory of planned behavior implies that measures of perceived behavioral control should contain items that assess selfefficacy as well as controllability. Depending on the purpose of the investigation, a decision can be made to aggregate over all items, treating perceived behavioral control as a unitary factor, or to distinguish between selfefficacy and controllability by entering separate indices into the prediction equation."
2,landscape; serious_skim; deep_read; hostile_prior,Learning hand-eye coordination for robotic grasping with deep learning and large-scale data collection,2017,Sergey Levine; Peter Pastor; Alex Krizhevsky; Julian Ibarz; Deirdre Quillen,The International Journal of Robotics Research,https://doi.org/10.1177/0278364917710318,https://doi.org/10.1177/0278364917710318,1248,93.945,contact_rich_manipulation,We describe a learning-based approach to hand-eye coordination for robotic grasping from monocular images.,contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,contact-rich manipulation robotics,"We describe a learning-based approach to hand-eye coordination for robotic grasping from monocular images. To learn hand-eye coordination for grasping, we trained a large convolutional neural network to predict the probability that task-space motion of the gripper will result in successful grasps, using only monocular camera images independent of camera calibration or the current robot pose. This requires the network to observe the spatial relationship between the gripper and objects in the scene, thus learning hand-eye coordination. We then use this network to servo the gripper in real time to achieve successful grasps. We describe two large-scale experiments that we conducted on two separate robotic platforms. In the first experiment, about 800,000 grasp attempts were collected over the course of two months, using between 6 and 14 robotic manipulators at any given time, with differences in camera placement and gripper wear and tear. In the second experiment, we used a different robotic platform and 8 robots to collect a dataset consisting of over 900,000 grasp attempts. The second robotic platform was used to test transfer between robots, and the degree to which data from a different set of robots can be used to aid learning. Our experimental results demonstrate that our approach achieves effective real-time control, can successfully grasp novel objects, and corrects mistakes by continuous servoing. Our transfer experiment also illustrates that data from different robots can be combined to learn more reliable and effective grasping."
3,landscape; serious_skim; deep_read; hostile_prior,Fractal Model of Elastic-Plastic Contact Between Rough Surfaces,1991,A. Majumdar; B. Bhushan,Journal of Tribology,https://doi.org/10.1115/1.2920588,https://doi.org/10.1115/1.2920588,1181,92.612,hybrid_contact_control,Roughness measurements by optical interferometry and scanning tunneling microscopy on a magnetic thin-film rigid disk surface have shown that its surface is fractal in nature.,explicit hybrid mode or complementarity formulation,contact modes are represented finely enough for control; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,contact-rich manipulation robotics,"Roughness measurements by optical interferometry and scanning tunneling microscopy on a magnetic thin-film rigid disk surface have shown that its surface is fractal in nature. This leads to a scale-dependence of statistical parameters such as r.m.s height, slope and curvature, which are extensively used in classical models of contact between rough surfaces. Based on the scale-independent fractal roughness parameters, a new model of contact between isotropic rough surfaces is developed. The model predicts that all contact spots of area smaller than a critical area are in plastic contact. When the load is increased, these plastically deformed spots join to form elastic spots. Using a power-law relation for the fractal size-distribution of contact spots, the model shows that for elastic deformation, the load P and the real area of contact Ar are related as P~Ar(3-D)/2, where D is the fractal dimension of a surface profile which lies between 1 and 2. This result explains the origins of the area exponent which has been the focus of a number of experimental and theoretical studies. For plastic loading, the load and area are linearly related. The size-distribution of spots also suggests that the number of contact spots contributing to a certain fraction of the real area of contact remains independent of load although the spot sizes increase with load. The model shows that the load-area relation and the fraction of the real area of contact in elastic and plastic deformation are quite sensitive to the fractal roughness parameters."
4,landscape; serious_skim; deep_read; hostile_prior,Contact-line dynamics of a diffuse fluid interface,2000,DAVID JACQMIN,Journal of Fluid Mechanics,https://doi.org/10.1017/s0022112099006874,https://doi.org/10.1017/s0022112099006874,680,89.785,hybrid_contact_control,An investigation is made into the moving contact line dynamics of a Cahn-Hilliard-van der Waals (CHW) diffuse mean-field interface.,explicit hybrid mode or complementarity formulation,contact modes are represented finely enough for control; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"An investigation is made into the moving contact line dynamics of a Cahn-Hilliard-van der Waals (CHW) diffuse mean-field interface. The interface separates two incompressible viscous fluids and can evolve either through convection or through diffusion driven by chemical potential gradients. The purpose of this paper is to show how the CHW moving contact line compares to the classical sharp interface contact line. It therefore discusses the asymptotics of the CHW contact line velocity and chemical potential fields as the interface thickness and the mobility both go to zero. The CHW and classical velocity fields have the same outer behaviour but can have very different inner behaviours and physics. In the CHW model, wall-liquid bonds are broken by chemical potential gradients instead of by shear and change of material at the wall is accomplished by diffusion rather than convection. The result is, mathematically at least, that the CHW moving contact line can exist even with no-slip conditions for the velocity. The relevance and realism or lack thereof of this is considered through the course of the paper. The two contacting fluids are assumed to be Newtonian and, to a first approximation, to obey the no-slip condition. The analysis is linear. For simplicity most of the analysis and results are for a 90 contact angle and for the fluids having equal dynamic viscosity and mobility . There are two regions of flow. To leading order the outer-region velocity field is the same as for sharp interfaces (flow field independent of r ) while the chemical potential behaves like r - , = /2/max{ eq , - eq }, eq being the equilibrium contact angle. An exception to this occurs for eq = 90, when the chemical potential behaves like ln r / r . The diffusive and viscous contact line singularities implied by these outer solutions are resolved in the inner region through chemical diffusion. The length scale of the inner region is about 10 - typically about 0.5-5 nm. Diffusive fluxes in this region are O (1). These counterbalance the effects of the velocity, which, because of the assumed no-slip boundary condition, fluxes material through the interface in a narrow boundary layer next to the wall. The asymptotic analysis is supplemented by both linearized and nonlinear finite difference calculations. These are made at two scales, experimental and nanoscale. The first set is done to show CHW interface behaviour and to test the qualitative applicability of the CHW model and its asymptotic theory to practical computations of experimental scale, nonlinear, low capillary number flows. The nanoscale calculations are carried out with realistic interface thicknesses and diffusivities and with various assumed levels of shear-induced slip. These are discussed in an attempt to evaluate the physical relevance of the CHW diffusive model. The various asymptotic and numerical results together indicate a potential usefullness for the CHW model for calculating and modelling wetting and dewetting flows."
5,landscape; serious_skim; deep_read; hostile_prior,A Finite Element Study of Elasto-Plastic Hemispherical Contact Against a Rigid Flat,2005,Robert L. Jackson; Itzhak Green,Journal of Tribology,https://doi.org/10.1115/1.1866166,https://doi.org/10.1115/1.1866166,601,86.85,hybrid_contact_control,This work presents a finite element study of elasto-plastic hemispherical contact.,explicit hybrid mode or complementarity formulation,contact modes are represented finely enough for control; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"This work presents a finite element study of elasto-plastic hemispherical contact. The results are normalized such that they are valid for macro contacts (e.g., rolling element bearings) and micro contacts (e.g., asperity contact), although micro-scale surface characteristics such as grain boundaries are not considered. The material is modeled as elastic-perfectly plastic. The numerical results are compared to other existing models of spherical contact, including the fully plastic truncation model (often attributed to Abbott and Firestone) and the perfectly elastic case (known as the Hertz contact). This work finds that the fully plastic average contact pressure, or hardness, commonly approximated to be a constant factor of about three times the yield strength, actually varies with the deformed contact geometry, which in turn is dependent upon the material properties (e.g., yield strength). The current work expands on previous works by including these effects and explaining them theoretically. Experimental and analytical results have also been shown to compare well with the current work. The results are fit by empirical formulations for a wide range of interferences (displacements which cause normal contact between the sphere and rigid flat) and materials for use in other applications."
6,landscape; serious_skim; deep_read; hostile_prior,Parameter and Contact Force Estimation of Planar Rigid-Bodies Undergoing Frictional Contact,2017,N. Fazeli; R. Kolbert; R. Tedrake; A. Rodriguez,International Journal of Robotics Research,,,0,85.25,general_robotics_contact,Estimates physical parameters and contact forces for planar bodies undergoing frictional contact.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,curated_seed,Estimates physical parameters and contact forces for planar bodies undergoing frictional contact.
7,landscape; serious_skim; deep_read; hostile_prior,Pose Estimation for Contact Manipulation with Manifold Particle Filters,2015,A. Koval; N. Pollard; S. Srinivasa,IEEE/RSJ International Conference on Intelligent Robots and Systems,,,0,84.75,contact_rich_manipulation; tactile_state_estimation,Uses contact constraints and particle filtering on manifolds to estimate object pose during manipulation.,contact-rich manipulation planner/controller; touch-conditioned state estimator,sensing distinguishes the contact events needed downstream; compressed contact variables remain Markov enough for the policy,sensor placement; contact observability model,contact features may be sufficient for classification but insufficient for control; downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,sensing targets defined by action-separating contact predicates; a repair that changes the compression criterion rather than adding a verifier,curated_seed,Uses contact constraints and particle filtering on manifolds to estimate object pose during manipulation.
8,landscape; serious_skim; deep_read; hostile_prior,Elastic-Plastic Contact Analysis of a Sphere and a Rigid Flat,2002,L. Kogut; I. Etsion,Journal of Applied Mechanics,https://doi.org/10.1115/1.1490373,https://doi.org/10.1115/1.1490373,976,79.827,hybrid_contact_control,An elastic-plastic finite element model for the frictionless contact of a deformable sphere pressed by a rigid flat is presented.,explicit hybrid mode or complementarity formulation,contact modes are represented finely enough for control; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"An elastic-plastic finite element model for the frictionless contact of a deformable sphere pressed by a rigid flat is presented. The evolution of the elastic-plastic contact with increasing interference is analyzed revealing three distinct stages that range from fully elastic through elastic-plastic to fully plastic contact interface. The model provides dimensionless expressions for the contact load, contact area, and mean contact pressure, covering a large range of interference values from yielding inception to fully plastic regime of the spherical contact zone. Comparison with previous elastic-plastic models that were based on some arbitrary assumptions is made showing large differences."
9,landscape; serious_skim; deep_read; hostile_prior,A Direct Method for Trajectory Optimization of Rigid Bodies Through Contact,2014,M. Posa; C. Cantu; R. Tedrake,International Journal of Robotics Research,,,0,79.5,trajectory_optimization,Optimizes contact-rich rigid-body trajectories by embedding contact constraints in direct trajectory optimization.,trajectory optimization through contact constraints,the optimizer sees the constraints that determine feasible actions; compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,optimizing through contact with known variables is established,a repair that changes the compression criterion rather than adding a verifier,curated_seed,Optimizes contact-rich rigid-body trajectories by embedding contact constraints in direct trajectory optimization.
10,landscape; serious_skim; deep_read; hostile_prior,"Stable Pushing: Mechanics, Controllability, and Planning",1996,K. M. Lynch; M. T. Mason,International Journal of Robotics Research,,,0,77.0,planar_pushing,"Analyzes mechanics, controllability, and planning for stable planar pushing.",analytic or learned planar contact mechanics,local friction geometry is known or slowly varying; compressed contact variables remain Markov enough for the policy,object geometry; support friction; contact normal parameterization,similar contact counts can have opposite useful push directions; downstream repair may be impossible after control-relevant information is discarded,contact mechanics and pushing controllability are established,minimal contact bits needed to preserve local task controllability; a repair that changes the compression criterion rather than adding a verifier,curated_seed,"Analyzes mechanics, controllability, and planning for stable planar pushing."
